awayConference,awayMoneyline,awayScore,awayTeam_x,awayTeamId_x,gameId,homeConference,homeMoneyline,homeScore,homeTeam_x,homeTeamId_x,overUnder,overUnderOpen,provider,season,seasonType,spread,spreadOpen,startDate_x,majority_sign_sum,provider_count,homeTeam_y,awayTeam_y,homeTeamId_y,awayTeamId_y,neutralSite,startDate_y,confidence,reason_flag,rating_edge
American,326.0,78,Wichita State,352,19129,Pac-12,-431.0,82,Arizona,11,138.5,,consensus,2022,regular,9.0,,2021-11-20T03:00:00.000Z,0.0,2.0,Arizona,Wichita State,11,352,True,2021-11-20T03:00:00.000Z,high,strong_moneyline_conflict,
Big Ten,-859.0,74,Michigan,170,19130,Mountain West,567.0,61,UNLV,322,135.5,,consensus,2022,regular,-12.5,,2021-11-20T06:00:00.000Z,0.0,2.0,UNLV,Michigan,322,170,True,2021-11-20T06:00:00.000Z,high,strong_moneyline_conflict,
NEC,-1815.0,75,Bryant,31,19133,SWAC,892.0,81,Bethune-Cookman,23,147.5,,consensus,2022,regular,-17.5,,2021-11-20T17:00:00.000Z,0.0,2.0,Bethune-Cookman,Bryant,23,31,True,2021-11-20T17:00:00.000Z,high,strong_moneyline_conflict,
OVC,326.0,67,UT Martin,325,19151,Sun Belt,-435.0,80,Troy,302,139.5,,consensus,2022,regular,8.0,,2021-11-20T20:00:00.000Z,0.0,2.0,Troy,UT Martin,302,325,True,2021-11-20T20:00:00.000Z,high,strong_moneyline_conflict,
Big Ten,-317.0,93,Purdue,236,19164,ACC,247.0,84,North Carolina,200,152.0,,consensus,2022,regular,-7.5,,2021-11-20T21:00:00.000Z,0.0,2.0,North Carolina,Purdue,200,236,True,2021-11-20T21:00:00.000Z,high,strong_moneyline_conflict,
Big South,347.0,66,Hampton,106,19167,Sun Belt,-474.0,86,Georgia Southern,99,133.5,,consensus,2022,regular,9.5,,2021-11-20T22:00:00.000Z,0.0,2.0,Georgia Southern,Hampton,99,106,True,2021-11-20T22:00:00.000Z,high,strong_moneyline_conflict,
Big South,239.0,33,Radford,239,19168,Patriot,-303.0,47,Navy,187,127.5,,consensus,2022,regular,6.5,,2021-11-20T22:00:00.000Z,0.0,2.0,Navy,Radford,187,239,True,2021-11-20T22:00:00.000Z,high,strong_moneyline_conflict,
Pac-12,-329.0,68,Utah,331,19174,ACC,255.0,61,Boston College,26,133.5,,consensus,2022,regular,-7.5,,2021-11-20T22:00:00.000Z,0.0,2.0,Boston College,Utah,26,331,True,2021-11-20T22:00:00.000Z,high,strong_moneyline_conflict,
MAAC,-932.0,81,Iona,123,19192,ASUN,607.0,65,North Alabama,197,137.0,,consensus,2022,regular,-13.5,,2021-11-21T01:30:00.000Z,0.0,2.0,North Alabama,Iona,197,123,True,2021-11-21T01:30:00.000Z,high,strong_moneyline_conflict,
NEC,-554.0,78,Bryant,31,19202,Patriot,397.0,62,Holy Cross,111,155.0,,consensus,2022,regular,-11.0,,2021-11-21T17:00:00.000Z,0.0,2.0,Holy Cross,Bryant,111,31,True,2021-11-21T17:00:00.000Z,high,strong_moneyline_conflict,
