option,season,bucket_kind,bucket,n,avg_pick_prob,win_rate,roi
best_posthoc_sigma,2023,edge,"[0.08, 0.1)",360,0.6128495921956018,0.46944444444444444,-0.10378787878787878
best_posthoc_sigma,2023,edge,"[0.1, 0.15)",512,0.6459473819314423,0.548828125,0.0477627840909091
best_posthoc_sigma,2023,edge,"[0.15, 1.0)",408,0.7489462659268566,0.5823095823095823,0.11140819964349376
constant_14_sigma,2023,probability,"[0.5, 0.55)",2810,0.523787037088738,0.5005339978640085,-0.04441928178582983
constant_14_sigma,2023,probability,"[0.55, 0.6)",1691,0.5721731862107077,0.5088757396449705,-0.028493091769259713
constant_14_sigma,2023,probability,"[0.6, 0.65)",704,0.6205272527327437,0.4971590909090909,-0.05087809917355371
constant_14_sigma,2023,probability,"[0.65, 0.7)",300,0.6700458372684414,0.5566666666666666,0.06272727272727273
constant_14_sigma,2023,probability,"[0.7, 0.75)",119,0.7216613429884106,0.5546218487394958,0.05882352941176466
constant_14_sigma,2023,probability,"[0.75, 0.8)",69,0.7736657927893568,0.5882352941176471,0.1212121212121212
constant_14_sigma,2023,probability,"[0.8, 0.85)",30,0.8197449831168849,0.6,0.14545454545454548
constant_14_sigma,2023,probability,"[0.85, 1.01)",50,0.9087169655946926,0.78,0.4890909090909091
constant_14_sigma,2023,edge,"[0.0, 0.02)",1071,0.533834131770569,0.5112149532710281,-0.02402172990408284
constant_14_sigma,2023,edge,"[0.02, 0.04)",873,0.5534887764490746,0.5063001145475372,-0.03342705404561074
constant_14_sigma,2023,edge,"[0.04, 0.06)",658,0.573475622048164,0.5151975683890577,-0.01644100580270794
constant_14_sigma,2023,edge,"[0.06, 0.08)",536,0.5930856823958027,0.491588785046729,-0.06139755766621438
constant_14_sigma,2023,edge,"[0.08, 0.1)",323,0.6129699251292413,0.48606811145510836,-0.07205178722206586
constant_14_sigma,2023,edge,"[0.1, 0.15)",473,0.6457037700825377,0.53276955602537,0.017105516048433606
constant_14_sigma,2023,edge,"[0.15, 1.0)",380,0.7525605481221932,0.5989445910290238,0.14306220095693778
hgbr_residual_log_scalar,2023,probability,"[0.5, 0.55)",3477,0.5229944851318263,0.502301495972382,-0.04104897116113681
hgbr_residual_log_scalar,2023,probability,"[0.55, 0.6)",1552,0.5703606630655313,0.4990328820116054,-0.047270384254920327
hgbr_residual_log_scalar,2023,probability,"[0.6, 0.65)",463,0.6197959986481267,0.5529157667386609,0.05556646377380718
hgbr_residual_log_scalar,2023,probability,"[0.65, 0.7)",148,0.6709293549065857,0.5405405405405406,0.03194103194103194
